Group,ANGPT2,CA4,CALCA,PADI4,SLC2A3,TNFAIP6
nCM,10.26603666,6.770987376,7.741521749,7.138066514,7.138066514,7.629044783
nCM,3.173883709,6.462395419,7.225462664,7.225462664,6.958234367,8.59373944
nCM,9.817612404,6.587653114,3.609583729,2.891040103,6.669919696,7.925443314
nCM,3.519171044,9.465003928,6.896466985,2.680289078,7.225462664,8.506999962
nCM,7.077109672,9.092973035,6.669919696,2.803346472,7.027383859,8.707755833
nCM,3.434214661,6.85058447,6.770987376,7.310683427,6.587653114,9.210233263
nCM,7.191871351,6.669919696,6.958234367,7.191871351,6.770987376,7.556857917
nCM,3.391624928,7.50463662,6.85058447,7.027383859,6.85058447,8.239285297
nCM,6.85058447,7.310683427,6.088406277,2.753481709,7.077109672,9.128402222
nCM,3.609583729,9.539497346,7.027383859,6.958234367,7.191871351,10.26603666
nCM,3.481484768,6.088406277,7.267574788,2.91268352,6.088406277,7.676376042
nCM,7.138066514,5.725209121,7.45446007,6.85058447,6.263900089,7.882452555
nCM,7.027383859,6.263900089,7.664461748,7.077109672,5.725209121,8.340115956
CM,3.418913901,9.243141265,6.263900089,2.85124491,6.896466985,8.638384009
CM,7.225462664,10.26603666,6.462395419,2.86750585,7.310683427,9.609991437
CM,2.680289078,9.609991437,6.587653114,2.826893217,7.267574788,8.286803033
CM,3.672615329,8.874911742,7.59627125,7.267574788,6.462395419,8.571924515
nCM,2.85124491,2.891040103,3.047869568,3.030147015,3.173883709,2.966354964
nCM,2.891040103,2.929910736,3.0199089,3.334993043,3.047869568,3.334993043
nCM,2.954700888,2.753481709,3.162818834,3.098018646,3.0199089,2.85124491
nCM,2.985266985,2.954700888,2.954700888,3.458534261,3.311906666,2.891040103
nCM,2.945016611,3.079725871,2.803346472,3.150158291,3.098018646,3.140250558
CM,3.071690095,2.826893217,3.116464208,3.519171044,3.079725871,2.753481709
nCM,2.753481709,3.030147015,3.334993043,3.481484768,2.954700888,2.929910736
CM,3.087967915,3.071690095,3.009981347,6.587653114,3.458534261,3.434214661
nCM,3.030147015,3.0199089,3.087967915,3.362066631,3.391624928,2.91268352
nCM,3.047869568,2.86750585,2.945016611,3.087967915,3.039271215,2.826893217
nCM,2.929910736,3.009981347,3.055181907,3.127059133,3.071690095,2.985266985
nCM,3.362066631,2.966354964,2.826893217,3.497766655,3.162818834,3.030147015
nCM,2.803346472,2.985266985,3.173883709,3.162818834,3.116464208,3.055181907
CM,3.062354939,3.150158291,3.079725871,6.462395419,3.481484768,3.173883709
CM,3.107546696,2.85124491,2.891040103,3.19692107,3.030147015,2.974315503
CM,2.974315503,2.974315503,2.91268352,3.562458224,3.150158291,3.087967915
CM,3.116464208,3.458534261,2.974315503,6.263900089,3.562458224,3.458534261
CM,2.86750585,3.107546696,3.030147015,5.725209121,3.585871812,3.362066631
CM,2.91268352,3.140250558,3.098018646,3.549357172,3.434214661,3.549357172
nCM,3.039271215,3.481484768,3.19692107,6.896466985,3.672615329,3.534887041
CM,2.966354964,2.999398894,3.039271215,3.311906666,3.497766655,3.672615329
nCM,3.079725871,2.91268352,3.071690095,2.966354964,2.966354964,2.803346472
CM,3.140250558,3.098018646,3.062354939,6.669919696,3.519171044,3.585871812
nCM,3.311906666,3.039271215,2.680289078,3.434214661,3.362066631,3.150158291
CM,3.19692107,3.434214661,2.985266985,6.770987376,3.609583729,3.609583729
nCM,3.0199089,3.162818834,2.86750585,3.672615329,3.418913901,3.107546696
CM,2.826893217,3.173883709,3.140250558,3.140250558,3.334993043,3.19692107
nCM,2.999398894,3.497766655,2.999398894,3.534887041,3.542122107,3.062354939
nCM,3.162818834,3.362066631,3.107546696,3.609583729,3.542122107,3.116464208
CM,3.055181907,3.19692107,2.966354964,3.418913901,3.107546696,3.127059133
CM,3.009981347,2.803346472,2.85124491,3.062354939,3.055181907,2.954700888
CM,3.127059133,3.047869568,3.150158291,3.391624928,3.127059133,3.481484768
CM,3.334993043,3.391624928,3.127059133,6.088406277,3.19692107,3.009981347
CM,3.150158291,3.062354939,2.929910736,3.173883709,3.140250558,2.86750585
CM,5.725209121,3.562458224,3.311906666,3.107546696,2.891040103,3.418913901
CM,3.497766655,3.672615329,3.391624928,3.585871812,3.087967915,3.562458224
CM,6.669919696,3.609583729,2.753481709,3.116464208,2.999398894,3.497766655
CM,6.896466985,3.519171044,3.434214661,3.079725871,2.85124491,3.079725871
CM,3.458534261,3.534887041,3.418913901,3.071690095,2.974315503,3.391624928
CM,3.562458224,3.585871812,5.725209121,2.954700888,2.680289078,3.039271215
