Group,CA4,CALCA
nCM,6.770987376,7.741521749
nCM,6.462395419,7.225462664
nCM,6.587653114,3.609583729
nCM,9.465003928,6.896466985
nCM,9.092973035,6.669919696
nCM,6.85058447,6.770987376
nCM,6.669919696,6.958234367
nCM,7.50463662,6.85058447
nCM,7.310683427,6.088406277
nCM,9.539497346,7.027383859
nCM,6.088406277,7.267574788
nCM,5.725209121,7.45446007
nCM,6.263900089,7.664461748
CM,9.243141265,6.263900089
CM,10.26603666,6.462395419
CM,9.609991437,6.587653114
CM,8.874911742,7.59627125
nCM,2.891040103,3.047869568
nCM,2.929910736,3.0199089
nCM,2.753481709,3.162818834
nCM,2.954700888,2.954700888
nCM,3.079725871,2.803346472
CM,2.826893217,3.116464208
nCM,3.030147015,3.334993043
CM,3.071690095,3.009981347
nCM,3.0199089,3.087967915
nCM,2.86750585,2.945016611
nCM,3.009981347,3.055181907
nCM,2.966354964,2.826893217
nCM,2.985266985,3.173883709
CM,3.150158291,3.079725871
CM,2.85124491,2.891040103
CM,2.974315503,2.91268352
CM,3.458534261,2.974315503
CM,3.107546696,3.030147015
CM,3.140250558,3.098018646
nCM,3.481484768,3.19692107
CM,2.999398894,3.039271215
nCM,2.91268352,3.071690095
CM,3.098018646,3.062354939
nCM,3.039271215,2.680289078
CM,3.434214661,2.985266985
nCM,3.162818834,2.86750585
CM,3.173883709,3.140250558
nCM,3.497766655,2.999398894
nCM,3.362066631,3.107546696
CM,3.19692107,2.966354964
CM,2.803346472,2.85124491
CM,3.047869568,3.150158291
CM,3.391624928,3.127059133
CM,3.062354939,2.929910736
CM,3.562458224,3.311906666
CM,3.672615329,3.391624928
CM,3.609583729,2.753481709
CM,3.519171044,3.434214661
CM,3.534887041,3.418913901
CM,3.585871812,5.725209121
nCM,3.116464208,3.534887041
nCM,3.311906666,3.458534261
nCM,3.549357172,3.549357172
nCM,2.680289078,3.497766655
nCM,2.945016611,3.481484768
nCM,3.334993043,3.585871812
nCM,3.418913901,3.362066631
nCM,3.055181907,3.562458224
nCM,3.127059133,3.672615329
nCM,3.087967915,3.519171044
CM,7.867537648,7.893902103
CM,8.59373944,7.771274038
CM,9.049153004,7.882452555
CM,7.45446007,9.700756412
CM,8.930745903,8.147059577
CM,7.707080729,7.384166616
CM,7.760233992,8.326878587
CM,8.614745704,8.272382603
CM,7.676376042,8.222044584
CM,8.412935488,7.760233992
CM,7.726818671,8.747375146
CM,8.747375146,8.239285297
CM,7.477285517,9.416470186
CM,8.176481669,8.638384009
CM,8.685269104,8.003967717
CM,8.372400643,7.833171298
CM,8.11559798,7.805078639
CM,7.575337072,8.874911742
CM,7.930717695,8.073632752
CM,9.315691797,7.50463662
CM,8.312713106,7.867537648
CM,8.494324124,8.552720541
CM,7.613052909,8.312713106
CM,7.786181593,8.163004287
CM,7.533635355,7.613052909
CM,9.700756412,8.086869461
CM,8.474647065,8.25911058
CM,8.086869461,8.019425031
CM,7.90263332,8.340115956
CM,7.59627125,8.04639093
CM,7.85214137,7.644382953
CM,8.191930996,8.061307798
CM,7.741521749,8.176481669
CM,7.077109672,8.783974456
CM,8.783974456,7.958697576
CM,7.191871351,9.049153004
CM,8.522259932,8.191930996
CM,7.958697576,8.930745903
CM,8.707755833,7.191871351
CM,8.432661687,8.099992445
CM,10.03524489,7.310683427
CM,8.222044584,8.614745704
CM,8.286803033,7.533635355
CM,8.326878587,7.676376042
CM,8.061307798,7.405043561
CM,8.03068305,7.138066514
CM,8.25911058,7.556857917
CM,9.817612404,7.69337339
CM,7.027383859,7.786181593
CM,9.128402222,7.477285517
CM,7.882452555,7.629044783
CM,8.272382603,7.575337072
CM,8.20686787,7.726818671
CM,9.210233263,7.816730062
CM,7.947862935,8.301069303
CM,9.416470186,7.925443314
CM,7.267574788,9.210233263
CM,7.556857917,9.609991437
CM,7.893902103,8.393818508
CM,8.454223419,7.947862935
CM,8.562322528,8.129991896
CM,8.656833461,7.077109672
CM,7.405043561,7.974649907
CM,8.393818508,9.243141265
CM,8.638384009,8.286803033
CM,6.896466985,7.428606263
CM,8.163004287,7.90263332
CM,7.805078639,8.474647065
CM,7.384166616,8.494324124
CM,8.239285297,7.707080729
CM,8.506999962,8.685269104
CM,7.930717695,8.412935488
CM,8.073632752,8.35498296
CM,8.301069303,8.571924515
CM,7.911671268,10.03524489
CM,9.001313027,8.372400643
CM,8.003967717,9.315691797
CM,7.629044783,8.432661687
CM,8.129991896,8.506999962
CM,8.019425031,8.20686787
CM,7.771274038,9.465003928
CM,7.990177617,8.11559798
CM,7.664461748,7.935992076
CM,8.562322528,8.707755833
CM,8.147059577,7.85214137
CM,8.099992445,9.128402222
CM,7.833171298,10.26603666
CM,7.428606263,9.539497346
CM,6.958234367,8.454223419
CM,7.225462664,7.911671268
CM,8.340115956,7.990177617
CM,7.974649907,8.522259932
CM,7.644382953,9.817612404
CM,7.69337339,8.03068305
CM,8.35498296,9.001313027
CM,7.816730062,9.092973035
CM,7.138066514,8.59373944
CM,8.04639093,8.656833461
