Group,PADI4,TNFAIP6
nCM,7.138066514,7.629044783
nCM,7.225462664,8.59373944
nCM,2.891040103,7.925443314
nCM,2.680289078,8.506999962
nCM,2.803346472,8.707755833
nCM,7.310683427,9.210233263
nCM,7.191871351,7.556857917
nCM,7.027383859,8.239285297
nCM,2.753481709,9.128402222
nCM,6.958234367,10.26603666
nCM,2.91268352,7.676376042
nCM,6.85058447,7.882452555
nCM,7.077109672,8.340115956
CM,2.85124491,8.638384009
CM,2.86750585,9.609991437
CM,2.826893217,8.286803033
CM,7.267574788,8.571924515
nCM,3.030147015,2.966354964
nCM,3.334993043,3.334993043
nCM,3.098018646,2.85124491
nCM,3.458534261,2.891040103
nCM,3.150158291,3.140250558
CM,3.519171044,2.753481709
nCM,3.481484768,2.929910736
CM,6.587653114,3.434214661
nCM,3.362066631,2.91268352
nCM,3.087967915,2.826893217
nCM,3.127059133,2.985266985
nCM,3.497766655,3.030147015
nCM,3.162818834,3.055181907
CM,6.462395419,3.173883709
CM,3.19692107,2.974315503
CM,3.562458224,3.087967915
CM,6.263900089,3.458534261
CM,5.725209121,3.362066631
CM,3.549357172,3.549357172
nCM,6.896466985,3.534887041
CM,3.311906666,3.672615329
nCM,2.966354964,2.803346472
CM,6.669919696,3.585871812
nCM,3.434214661,3.150158291
CM,6.770987376,3.609583729
nCM,3.672615329,3.107546696
CM,3.140250558,3.19692107
nCM,3.534887041,3.062354939
nCM,3.609583729,3.116464208
CM,3.418913901,3.127059133
CM,3.062354939,2.954700888
CM,3.391624928,3.481484768
CM,6.088406277,3.009981347
CM,3.173883709,2.86750585
CM,3.107546696,3.418913901
CM,3.585871812,3.562458224
CM,3.116464208,3.497766655
CM,3.079725871,3.079725871
CM,3.071690095,3.391624928
CM,2.954700888,3.039271215
nCM,3.009981347,2.945016611
nCM,2.974315503,3.098018646
nCM,3.039271215,3.311906666
nCM,2.985266985,3.071690095
nCM,2.929910736,2.680289078
nCM,3.055181907,3.0199089
nCM,3.047869568,3.519171044
nCM,2.999398894,3.047869568
nCM,3.0199089,2.999398894
nCM,2.945016611,3.162818834
CM,8.129991896,8.073632752
CM,8.614745704,8.747375146
CM,9.243141265,8.03068305
CM,7.405043561,7.575337072
CM,8.393818508,8.176481669
CM,7.85214137,8.874911742
CM,7.644382953,7.405043561
CM,9.128402222,9.700756412
CM,7.707080729,6.462395419
CM,8.552720541,7.760233992
CM,7.676376042,8.372400643
CM,9.539497346,8.35498296
CM,7.786181593,5.725209121
CM,8.432661687,8.147059577
CM,9.049153004,7.69337339
CM,9.210233263,8.25911058
CM,8.656833461,7.310683427
CM,7.59627125,7.613052909
CM,8.326878587,7.935992076
CM,9.092973035,7.741521749
CM,7.867537648,6.669919696
CM,7.816730062,7.027383859
CM,7.882452555,7.664461748
CM,8.301069303,8.474647065
CM,8.073632752,7.786181593
CM,9.817612404,9.049153004
CM,9.001313027,9.243141265
CM,8.783974456,9.416470186
CM,8.11559798,7.771274038
CM,7.664461748,7.59627125
CM,8.340115956,9.817612404
CM,8.163004287,6.85058447
CM,8.176481669,8.163004287
CM,7.771274038,8.412935488
CM,9.465003928,8.319795847
CM,8.019425031,8.319795847
CM,8.312713106,8.019425031
CM,7.893902103,7.958697576
CM,7.925443314,7.45446007
CM,8.222044584,7.893902103
CM,10.03524489,8.930745903
CM,8.874911742,8.301069303
CM,9.700756412,8.656833461
CM,7.990177617,7.707080729
CM,7.974649907,7.533635355
CM,7.947862935,8.454223419
CM,8.03068305,8.20686787
CM,10.26603666,9.001313027
CM,7.556857917,8.494324124
CM,8.286803033,7.911671268
CM,7.911671268,9.539497346
CM,8.930745903,8.086869461
CM,8.272382603,8.222044584
CM,8.494324124,7.191871351
CM,8.003967717,7.833171298
CM,8.35498296,7.138066514
CM,7.428606263,6.088406277
CM,7.384166616,8.11559798
CM,8.747375146,7.50463662
CM,8.239285297,6.896466985
CM,8.147059577,8.685269104
CM,8.685269104,8.191930996
CM,7.477285517,7.384166616
CM,8.191930996,8.432661687
CM,8.638384009,8.522259932
CM,7.613052909,10.03524489
CM,8.571924515,8.099992445
CM,8.59373944,7.90263332
CM,7.958697576,8.003967717
CM,9.416470186,9.465003928
CM,8.707755833,8.129991896
CM,8.412935488,8.04639093
CM,8.20686787,9.092973035
CM,8.086869461,7.805078639
CM,7.726818671,7.428606263
CM,8.474647065,7.477285517
CM,7.629044783,6.587653114
CM,7.741521749,7.85214137
CM,7.90263332,7.990177617
CM,9.315691797,8.783974456
CM,7.69337339,6.263900089
CM,8.454223419,7.974649907
CM,8.099992445,6.770987376
CM,7.833171298,7.267574788
CM,7.805078639,7.644382953
CM,8.372400643,8.614745704
CM,7.760233992,7.867537648
CM,7.575337072,8.552720541
CM,7.50463662,6.958234367
CM,7.45446007,7.077109672
CM,8.522259932,9.315691797
CM,7.935992076,8.272382603
CM,8.061307798,7.726818671
CM,8.506999962,7.947862935
CM,9.609991437,8.393818508
CM,8.04639093,7.816730062
CM,7.533635355,8.061307798
CM,8.25911058,7.225462664
