Group,ANGPT1,ANGPT2,ANKRD22,BCL6,C1QC,CA4,CALCA,CCL5,CD177,CKAP4,CXCL10,FAS,FLT1,HK3,HP,ICAM1,LAG3,PADI4,PF4,PGLYRP1,PLBD1,RGL4,S100A12,SLC2A3,TNFAIP6,TNFRSF1B,TREM1
nCM,9.315691797,10.26603666,8.707755833,7.575337072,9.049153004,6.770987376,7.741521749,7.935992076,7.575337072,8.685269104,8.685269104,6.896466985,8.930745903,8.494324124,8.432661687,9.700756412,6.85058447,7.138066514,9.416470186,6.669919696,8.874911742,9.210233263,8.685269104,7.138066514,7.629044783,5.725209121,8.239285297
nCM,9.092973035,3.173883709,9.001313027,8.11559798,8.930745903,6.462395419,7.225462664,9.465003928,7.45446007,9.049153004,8.930745903,8.393818508,9.315691797,9.049153004,8.638384009,9.001313027,9.049153004,7.225462664,10.26603666,7.027383859,9.817612404,9.092973035,8.522259932,6.958234367,8.59373944,7.805078639,7.882452555
nCM,8.874911742,9.817612404,8.494324124,7.533635355,10.03524489,6.587653114,3.609583729,10.03524489,8.073632752,9.700756412,8.474647065,7.556857917,3.458534261,9.001313027,8.930745903,8.099992445,9.700756412,2.891040103,9.609991437,7.974649907,9.609991437,9.539497346,8.222044584,6.669919696,7.925443314,9.539497346,7.925443314
nCM,9.243141265,3.519171044,8.930745903,8.393818508,9.416470186,9.465003928,6.896466985,9.416470186,8.783974456,9.817612404,8.340115956,7.69337339,6.462395419,9.465003928,8.571924515,8.747375146,9.465003928,2.680289078,9.817612404,8.340115956,9.416470186,9.700756412,9.210233263,7.225462664,8.506999962,8.656833461,8.019425031
nCM,8.930745903,7.077109672,9.315691797,8.086869461,10.26603666,9.092973035,6.669919696,8.286803033,8.614745704,10.26603666,8.874911742,7.477285517,9.465003928,9.416470186,9.315691797,8.35498296,10.26603666,2.803346472,9.243141265,8.061307798,9.700756412,9.609991437,9.655373924,7.027383859,8.707755833,9.210233263,8.312713106
nCM,9.416470186,3.434214661,9.416470186,8.326878587,9.539497346,6.85058447,6.770987376,7.893902103,6.770987376,9.128402222,9.465003928,10.03524489,8.783974456,9.210233263,8.312713106,8.656833461,9.001313027,7.310683427,8.747375146,6.263900089,9.001313027,9.049153004,7.882452555,6.587653114,9.210233263,8.930745903,8.874911742
nCM,9.700756412,7.191871351,8.783974456,7.90263332,9.609991437,6.669919696,6.958234367,8.494324124,7.59627125,9.210233263,9.539497346,8.272382603,6.896466985,9.315691797,8.707755833,10.03524489,9.416470186,7.191871351,9.049153004,6.462395419,9.210233263,9.243141265,8.176481669,6.770987376,7.556857917,8.874911742,8.474647065
nCM,9.539497346,3.391624928,9.465003928,8.59373944,8.656833461,7.50463662,6.85058447,7.990177617,7.726818671,8.874911742,9.315691797,8.59373944,9.539497346,9.243141265,8.340115956,9.539497346,8.073632752,7.027383859,8.930745903,6.770987376,9.071063019,9.128402222,8.129991896,6.85058447,8.239285297,6.669919696,8.272382603
nCM,9.210233263,6.85058447,9.700756412,8.25911058,9.700756412,7.310683427,6.088406277,7.69337339,8.312713106,10.03524489,9.092973035,8.506999962,9.092973035,9.539497346,9.049153004,8.474647065,9.210233263,2.753481709,9.465003928,7.575337072,10.03524489,9.416470186,9.243141265,7.077109672,9.128402222,9.416470186,8.432661687
nCM,9.465003928,3.609583729,10.03524489,9.049153004,9.465003928,9.539497346,7.027383859,7.726818671,8.239285297,9.609991437,9.049153004,9.243141265,6.263900089,10.03524489,8.747375146,8.685269104,9.315691797,6.958234367,9.315691797,7.69337339,9.465003928,10.03524489,9.655373924,7.191871351,10.26603666,9.817612404,9.416470186
nCM,9.817612404,3.481484768,7.85214137,6.958234367,8.099992445,6.088406277,7.267574788,8.930745903,6.263900089,7.45446007,9.700756412,8.11559798,9.128402222,8.930745903,7.267574788,7.575337072,3.534887041,2.91268352,9.128402222,5.725209121,8.20686787,8.35498296,6.770987376,6.088406277,7.676376042,7.760233992,8.506999962
nCM,10.03524489,7.138066514,8.11559798,7.741521749,5.725209121,5.725209121,7.45446007,9.700756412,6.462395419,7.225462664,9.001313027,8.522259932,9.609991437,8.783974456,7.867537648,8.454223419,6.263900089,6.85058447,9.539497346,6.088406277,8.176481669,9.001313027,7.428606263,6.263900089,7.882452555,8.474647065,9.609991437
nCM,10.26603666,7.027383859,8.372400643,7.405043561,6.088406277,6.263900089,7.664461748,8.656833461,5.725209121,7.477285517,9.416470186,7.990177617,10.26603666,8.59373944,7.613052909,8.614745704,6.088406277,7.077109672,9.210233263,6.587653114,7.69337339,8.930745903,6.85058447,5.725209121,8.340115956,6.958234367,8.571924515
