Group,ANGPT2,CA4,CALCA,PADI4,SLC2A3,TNFAIP6
Control,7.84178203,280.1719754,-1.569876142,2445.782646,6112.112275,760.260201
Control,-3.235443147,149.4694486,-5.059159695,810.0172501,4517.272945,631.9589133
Control,1.571245685,155.6684215,-4.870337766,869.7113487,3680.251664,844.6266004
Control,9.218301523,284.6752564,-4.425801929,2253.59481,6527.508437,521.0815734
Control,-3.291371472,514.5159809,-4.376068325,1184.908106,6094.517553,901.0186648
Control,2.444017005,261.4823932,4.215371269,1340.647803,5414.570088,331.1330198
Control,-0.892214975,165.8539941,2.271311269,909.9704764,4451.836794,156.5183026
Control,-1.177936244,84.9823399,-3.967058883,1312.188408,5705.598159,950.8729456
Control,-1.52764599,396.0968272,-5.913784162,1579.06129,6023.47592,536.5265314
Control,2.980274213,245.6464259,-8.655638223,1401.414516,4399.342827,204.0686621
Control,-1.845676751,221.5677935,-5.919634619,1256.624561,4144.253191,493.2794715
Control,0.226861624,209.5718522,-3.416572234,1908.328403,5244.488352,214.2300553
Control,6.432287005,347.6163713,-9.757399797,1038.203793,6969.138832,1934.647935
Control,0.074236751,552.4299885,-6.446499898,2712.139573,8385.044332,1610.843392
Control,6.140291269,239.8071463,-3.720166599,1583.73622,4738.300152,2022.887927
Control,-1.12370335,464.9686096,-1.597006497,1923.587735,7856.37946,580.1366541
Control,4.619311168,247.7981257,-9.077757665,1599.719156,7856.37946,1077.389777
Control,0.591431878,79.11088944,-8.244785584,503.7046777,5563.158693,365.8067312
Control,3.282766091,213.528293,-5.309989645,1335.952378,5356.590077,1151.637902
Control,-6.106857056,269.6631314,-9.159051066,971.3531301,6363.191376,964.4331183
Control,7.293581929,539.1544849,-8.850563046,2746.272328,4968.63214,690.4810979
Control,0.532813604,250.2124289,-7.397385584,959.4842939,4943.935981,999.3056698
Control,-0.463883046,232.609209,-0.139606091,1155.958614,4034.555226,631.0238641
Control,2.819995025,291.9051364,-5.771414721,1402.665506,3750.206169,547.4383573
Control,0.244722132,203.7120688,-0.001560508,706.311274,3782.052731,1344.236428
Control,1.572432589,247.6482192,-9.147039289,1036.740724,5285.950044,534.8502079
Control,8.284912589,451.056073,-5.399594112,1375.440611,5285.950044,1934.647935
Control,-1.225856447,250.9967469,-1.933990457,2367.248214,4318.891912,312.4632043
Control,-3.033598579,287.5106726,-1.715880812,1246.569224,5563.158693,329.6373475
Control,-4.925500102,282.9054162,-10.5275669,1402.665506,5473.612377,387.6657698
Control,2.652249746,151.7753206,-12.48233523,955.720684,3872.048281,311.5267542
Control,-2.449124315,488.3457737,1.649268122,1966.536277,4580.992943,1498.955043
Control,-0.878048223,257.6187072,-5.002016751,958.8706297,3948.417235,645.6910715
Control,1.260773807,412.3944578,-7.206067005,1415.369864,6696.37267,1648.773562
Control,3.162918173,248.2591157,-10.92357523,867.6278463,3321.533276,588.0656903
Condition,-2.164785431,109.9689566,-0.623733909,724.7433066,3102.078102,1326.802326
Condition,-0.765238883,185.6808623,-11.1432666,1241.505474,3327.83378,466.9068481
Condition,4.784326294,215.1961562,-1.046801269,1199.827034,4399.342827,971.9953628
Condition,4.067828426,133.0105798,-5.921830558,1473.753741,3141.853579,1066.783207
Condition,6.275061929,143.6159631,-5.690075533,1071.311244,5956.050714,773.3626183
Condition,-1.774078883,56.46365279,-8.904687716,395.9509524,2638.92743,1129.249318
Condition,8.790029543,105.2119006,-3.665505685,1479.225208,4441.294673,848.0846893
Condition,-3.691099797,183.9741617,3.401881421,1118.567138,2724.877652,1679.428369
Condition,1.183224822,146.1250636,4.759750964,1168.597437,5689.084826,947.8751691
Condition,0.854133604,171.0674142,-10.40197168,826.0106487,8034.256175,1682.928803
Condition,-4.304205888,377.2181861,-2.593449442,2295.289979,4379.562307,1154.251897
Condition,-2.758937766,173.2101638,-3.963324467,1359.693931,2776.756275,746.391911
Condition,5.153308122,440.0918245,2.333469543,3855.046953,4762.178697,726.3165163
Condition,-3.014160305,64.94080426,0.426181827,2025.166482,2902.881029,388.2580426
Condition,-4.596085939,115.5407117,-5.185704975,926.0574026,2716.211243,949.0828175
Condition,11.18310091,630.7338978,-6.164826701,1734.716484,4505.99578,1939.002731
Condition,8.166615838,357.6004808,-6.15774934,1845.260105,3290.038218,684.4163879
Condition,4.950378579,380.5763025,2.611210863,1693.450288,3562.517437,485.2949588
Condition,-8.272976244,376.6657803,-1.362854518,2878.538012,5563.158693,894.8858188
Condition,-1.608061117,471.6823446,-2.966086802,2092.152942,5081.717097,1125.142547
Condition,-8.181381827,131.2763338,-3.282641523,1533.611094,2373.635313,310.0552579
Condition,-0.899587817,77.10647239,-8.678964061,1015.650044,3247.523043,1014.930368
Condition,-2.913406396,316.6666265,-12.51540112,1345.354652,11277.73589,3096.53441
Condition,2.215089442,123.4853538,2.753139086,776.4158864,3711.302518,380.8534738
Condition,-2.649441624,122.4367226,-4.718748426,1331.277678,4144.253191,1438.747891
Condition,5.035899188,164.8651509,-7.552294416,785.5483615,7439.621599,8034.256175
Condition,-0.848723249,74.77795604,1.185201421,966.9412641,4318.891912,1955.115229
Condition,1.109831675,152.5042035,-8.544390964,1464.262736,6323.994602,2840.248831
Control,10.45384843,181.6587885,2.879496853,2466.73921,4298.747158,710.4321495
Control,6.189644975,347.7425441,-7.722625584,1287.210969,5473.612377,1545.706429
Control,10.9112402,113.4675787,5.316791472,1461.575484,3477.961635,240.6195826
Control,8.746996041,113.786608,-6.608767817,2546.255967,3905.974297,605.265315
Control,4.161661624,163.7915656,0.488935025,2603.286279,4008.848787,633.4446719
Control,3.780632792,180.7646348,-4.506709036,3096.53441,5657.569403,932.9962066
Control,2.179265381,162.9944774,-2.841790558,2389.847371,3830.594199,1076.63326
Control,-2.470351523,319.6167399,-6.534256345,2236.066896,6853.490175,850.0584607
Control,4.208754721,249.8245979,-5.127948325,2323.188439,5753.608036,671.9690878
Condition,-6.652517259,180.655878,-11.69886396,2987.243642,4919.95048,787.7709001
Condition,2.861295635,65.78432244,-13.30549695,2018.118654,2922.408886,167.5140727
Condition,2.145699695,330.5583274,-0.512398071,3017.501802,5272.695814,357.4682985
Condition,-0.986194619,113.9463855,7.536178934,2109.90534,3271.909655,136.9207236
Condition,1.427731015,440.6027229,-10.16594538,3688.067158,4441.294673,851.6224483
Condition,6.095017107,256.3219022,6.348898477,2997.291532,5626.118057,681.6393438
Condition,-1.614120203,397.8881715,0.344142234,2623.022874,6569.007136,854.1232181
Condition,1.500760305,167.886227,0.127173299,2061.553619,4692.947625,572.6417804
Condition,4.597720914,85.17105543,-8.364812792,1959.77668,3378.770291,208.5839673
