Group,ANGPT2,SLC2A3
Control,7.84178203,6112.112275
Control,-3.235443147,4517.272945
Control,1.571245685,3680.251664
Control,9.218301523,6527.508437
Control,-3.291371472,6094.517553
Control,2.444017005,5414.570088
Control,-0.892214975,4451.836794
Control,-1.177936244,5705.598159
Control,-1.52764599,6023.47592
Control,2.980274213,4399.342827
Control,-1.845676751,4144.253191
Control,0.226861624,5244.488352
Control,6.432287005,6969.138832
Control,0.074236751,8385.044332
Control,6.140291269,4738.300152
Control,-1.12370335,7856.37946
Control,4.619311168,7856.37946
Control,0.591431878,5563.158693
Control,3.282766091,5356.590077
Control,-6.106857056,6363.191376
Control,7.293581929,4968.63214
Control,0.532813604,4943.935981
Control,-0.463883046,4034.555226
Control,2.819995025,3750.206169
Control,0.244722132,3782.052731
Control,1.572432589,5285.950044
Control,8.284912589,5285.950044
Control,-1.225856447,4318.891912
Control,-3.033598579,5563.158693
Control,-4.925500102,5473.612377
Control,2.652249746,3872.048281
Control,-2.449124315,4580.992943
Control,-0.878048223,3948.417235
Control,1.260773807,6696.37267
Control,3.162918173,3321.533276
Condition,-2.164785431,3102.078102
Condition,-0.765238883,3327.83378
Condition,4.784326294,4399.342827
Condition,4.067828426,3141.853579
Condition,6.275061929,5956.050714
Condition,-1.774078883,2638.92743
Condition,8.790029543,4441.294673
Condition,-3.691099797,2724.877652
Condition,1.183224822,5689.084826
Condition,0.854133604,8034.256175
Condition,-4.304205888,4379.562307
Condition,-2.758937766,2776.756275
Condition,5.153308122,4762.178697
Condition,-3.014160305,2902.881029
Condition,-4.596085939,2716.211243
Condition,11.18310091,4505.99578
Condition,8.166615838,3290.038218
Condition,4.950378579,3562.517437
Condition,-8.272976244,5563.158693
Condition,-1.608061117,5081.717097
Condition,-8.181381827,2373.635313
Condition,-0.899587817,3247.523043
Condition,-2.913406396,11277.73589
Condition,2.215089442,3711.302518
Condition,-2.649441624,4144.253191
Condition,5.035899188,7439.621599
Condition,-0.848723249,4318.891912
Condition,1.109831675,6323.994602
Control,10.45384843,4298.747158
Control,6.189644975,5473.612377
Control,10.9112402,3477.961635
Control,8.746996041,3905.974297
Control,4.161661624,4008.848787
Control,3.780632792,5657.569403
Control,2.179265381,3830.594199
Control,-2.470351523,6853.490175
Control,4.208754721,5753.608036
Condition,-6.652517259,4919.95048
Condition,2.861295635,2922.408886
Condition,2.145699695,5272.695814
Condition,-0.986194619,3271.909655
Condition,1.427731015,4441.294673
Condition,6.095017107,5626.118057
Condition,-1.614120203,6569.007136
Condition,1.500760305,4692.947625
Condition,4.597720914,3378.770291
Condition,0.330166294,3766.425026
Condition,0.504808629,3814.551927
Condition,0.625034112,5231.263847
Condition,-2.610240558,4895.365055
Condition,0.438806904,4008.848787
Condition,4.780756041,3711.302518
Condition,7.505303046,3069.622175
Condition,10.20445919,4968.63214
Condition,4.472827411,4134.868184
Condition,12.06919645,6403.909575
Condition,7.693934112,2741.89246
Condition,1.280683756,3397.968327
Condition,3.125503452,3217.888495
Condition,1.149427208,3583.764946
Condition,5.140692386,4681.873625
Condition,4.691572792,2897.960096
Condition,3.746614213,3583.764946
Condition,4.146108477,6674.520342
Condition,0.563725685,3211.94864
Condition,2.135510863,2844.980452
Condition,5.350585888,7548.444225
Condition,4.054870761,3347.302858
Condition,-3.139536041,4153.679631
Condition,3.634394213,3359.897131
Condition,-0.668334721,2746.272328
Condition,2.235710914,3703.420262
Condition,2.374481218,4308.56514
Condition,9.12619335,3534.01864
Condition,9.756332284,4298.747158
Condition,4.392779086,3007.529181
Condition,9.47821401,3814.551927
Control,7.468651371,6611.414538
Control,18.99861645,6717.731333
Control,-1.072398071,7234.878869
Control,6.164787107,7601.559031
Control,-2.300779086,6487.066558
Control,3.329407005,7574.852797
Control,2.199900508,6547.818528
Control,-3.715332183,5657.569403
Control,1.959352386,6187.289482
Control,9.603267919,4919.95048
Control,-7.8772,5203.392758
Control,-1.092324569,5689.084826
Control,3.169544467,4859.936657
Control,5.100228528,4538.843536
Control,3.696489036,5121.47926
Control,2.727084467,4505.99578
Control,-4.18779736,5272.695814
Control,3.539069848,5820.61092
Control,4.893926193,4704.7678
Control,0.372734619,5989.479994
Control,-1.993948426,4681.873625
Control,5.304840609,5854.158568
Control,2.330103756,5626.118057
Control,8.173804264,6206.795796
Condition,0.759119086,5854.158568
Condition,-4.872280711,7548.444225
Condition,-1.606799086,7466.037855
Condition,4.910030863,6761.244974
Condition,0.428532284,4494.970863
Condition,0.898559898,6282.76466
Condition,8.288230964,4786.348352
Condition,-1.250081371,5547.63005
Condition,3.260015838,6969.138832
Condition,0.331256142,7711.205794
Condition,0.434392589,6611.414538
Condition,1.417307411,7711.205794
Condition,-6.245418376,6041.435303
Condition,0.690821015,4943.935981
Condition,-3.849865482,5147.993248
Condition,-4.307992589,6167.569598
Condition,6.749004365,6423.912644
Condition,9.683993909,5370.807019
Condition,-1.984568426,6487.066558
Condition,6.486776853,7711.205794
Condition,2.410467817,10396.39984
Condition,1.131504772,7601.559031
Condition,6.401813401,5328.035855
Condition,7.629268122,8192.988395
Condition,0.19644665,11168.7253
Condition,-1.313181624,4441.294673
Condition,1.009849645,7493.823045
Condition,-3.9507,14776.75385
Condition,-12.90123442,3931.861261
Condition,-5.245222944,10154.83618
Condition,7.646863553,7.20315401
Condition,4.097179898,6382.967939
Condition,-3.310667005,13034.79953
Condition,-6.790169036,16179.31064
Condition,-1.143746599,5786.197445
Condition,-5.565400914,5081.717097
Condition,-8.113329746,4278.413767
Condition,6.654886193,14338.85106
Condition,-3.627926802,11388.92272
Condition,-0.044226802,2099.634945
Control,-4.120832893,3417.475957
Control,9.992321015,4399.342827
Control,-1.840251878,4549.017694
Control,3.46983797,3688.067158
Control,0.307548325,5518.198046
Control,1.006733096,4494.970863
Control,-7.594151574,4034.555226
Control,0.448293807,7683.061743
Control,5.453229949,3872.048281
Control,-1.349247614,4106.312903
Control,5.407986193,4106.312903
Control,-3.096658579,4980.74015
Control,-2.510545685,3534.01864
Control,5.432387614,9053.36811
Control,-5.229219898,3334.329311
Control,-3.143029086,3718.937414
Control,6.292672183,3147.66389
Control,4.899846904,4528.393931
Control,1.848496853,7414.977184
Control,-0.258604264,4569.783947
Control,-1.61856264,8978.561925
Control,-5.064581117,5175.389503
Control,-5.140333604,4968.63214
Condition,-1.66363533,7943.583608
Condition,9.606638173,6674.520342
Condition,10.3428132,6263.85676
Condition,10.99902467,3621.274838
Condition,-1.864550863,7284.336679
Condition,7.036281218,7683.061743
Condition,-2.566336751,3027.919299
Condition,4.573925888,6527.508437
Condition,8.090341421,5081.717097
Condition,5.110360711,5753.608036
Condition,4.939295431,9053.36811
Condition,16.97478406,7493.823045
Condition,-0.801009036,4338.328528
Condition,-7.277277766,4389.326711
Condition,8.493419797,4992.979548
Condition,4.327065787,4483.683711
Condition,12.77873868,2907.835505
Condition,11.14956,5342.607519
Condition,10.39649848,5175.389503
Condition,0.321559797,5068.558595
Condition,0.40384,5641.735966
Condition,-2.663130457,-17.16412274
Condition,-2.588945787,6094.517553
Condition,13.45484843,10903.56778
Condition,2.702572792,5518.198046
Condition,-1.158638376,5610.13324
Condition,-5.645917157,3366.393285
Condition,-0.362305025,6059.412876
Condition,3.599754619,5081.717097
Control,1.486910761,4210.220899
Control,0.164292081,4847.052735
Control,3.666133807,4956.159022
Control,1.088326294,6969.138832
Control,7.882952792,3830.594199
Control,11.4243533,5626.118057
Control,3.573855431,6245.513337
Control,1.182933299,4968.63214
Control,-1.543528325,3135.710907
Control,5.725399492,7109.965157
Control,-2.03767665,5870.746965
Control,5.806590355,8515.616422
Control,-5.565749949,6527.508437
Control,2.087975939,4602.724016
Control,-0.563851066,6717.731333
Control,8.07213269,4647.074115
Control,12.79980995,4409.897518
Control,5.215893706,6167.569598
Control,0.087469036,3897.934207
Control,3.854107411,4810.646782
Control,2.607499188,4144.253191
Control,-0.170944162,8192.988395
Control,1.24707198,4162.972122
Control,4.807334416,6094.517553
Control,1.505460609,4569.783947
Control,-4.637957259,2477.32518
Control,7.059613503,7768.093158
Control,3.856561726,4125.573354
Control,3.347304772,5518.198046
Control,-3.392608426,7184.468012
