Group,CA4,SLC2A3
Control,280.1719754,6112.112275
Control,149.4694486,4517.272945
Control,155.6684215,3680.251664
Control,284.6752564,6527.508437
Control,514.5159809,6094.517553
Control,261.4823932,5414.570088
Control,165.8539941,4451.836794
Control,84.9823399,5705.598159
Control,396.0968272,6023.47592
Control,245.6464259,4399.342827
Control,221.5677935,4144.253191
Control,209.5718522,5244.488352
Control,347.6163713,6969.138832
Control,552.4299885,8385.044332
Control,239.8071463,4738.300152
Control,464.9686096,7856.37946
Control,247.7981257,7856.37946
Control,79.11088944,5563.158693
Control,213.528293,5356.590077
Control,269.6631314,6363.191376
Control,539.1544849,4968.63214
Control,250.2124289,4943.935981
Control,232.609209,4034.555226
Control,291.9051364,3750.206169
Control,203.7120688,3782.052731
Control,247.6482192,5285.950044
Control,451.056073,5285.950044
Control,250.9967469,4318.891912
Control,287.5106726,5563.158693
Control,282.9054162,5473.612377
Control,151.7753206,3872.048281
Control,488.3457737,4580.992943
Control,257.6187072,3948.417235
Control,412.3944578,6696.37267
Control,248.2591157,3321.533276
Condition,109.9689566,3102.078102
Condition,185.6808623,3327.83378
Condition,215.1961562,4399.342827
Condition,133.0105798,3141.853579
Condition,143.6159631,5956.050714
Condition,56.46365279,2638.92743
Condition,105.2119006,4441.294673
Condition,183.9741617,2724.877652
Condition,146.1250636,5689.084826
Condition,171.0674142,8034.256175
Condition,377.2181861,4379.562307
Condition,173.2101638,2776.756275
Condition,440.0918245,4762.178697
Condition,64.94080426,2902.881029
Condition,115.5407117,2716.211243
Condition,630.7338978,4505.99578
Condition,357.6004808,3290.038218
Condition,380.5763025,3562.517437
Condition,376.6657803,5563.158693
Condition,471.6823446,5081.717097
Condition,131.2763338,2373.635313
Condition,77.10647239,3247.523043
Condition,316.6666265,11277.73589
Condition,123.4853538,3711.302518
Condition,122.4367226,4144.253191
Condition,164.8651509,7439.621599
Condition,74.77795604,4318.891912
Condition,152.5042035,6323.994602
Control,181.6587885,4298.747158
Control,347.7425441,5473.612377
Control,113.4675787,3477.961635
Control,113.786608,3905.974297
Control,163.7915656,4008.848787
Control,180.7646348,5657.569403
Control,162.9944774,3830.594199
Control,319.6167399,6853.490175
Control,249.8245979,5753.608036
Condition,180.655878,4919.95048
Condition,65.78432244,2922.408886
Condition,330.5583274,5272.695814
Condition,113.9463855,3271.909655
Condition,440.6027229,4441.294673
Condition,256.3219022,5626.118057
Condition,397.8881715,6569.007136
Condition,167.886227,4692.947625
Condition,85.17105543,3378.770291
Condition,123.4458576,3766.425026
Condition,107.6658617,3814.551927
Condition,236.4042618,5231.263847
Condition,355.1449494,4895.365055
Condition,182.0734506,4008.848787
Condition,112.9836341,3711.302518
Condition,79.15422152,3069.622175
Condition,172.5264147,4968.63214
Condition,156.6524079,4134.868184
Condition,359.4209625,6403.909575
Condition,157.2754262,2741.89246
Condition,80.55386619,3397.968327
Condition,267.7082871,3217.888495
Condition,93.81005147,3583.764946
Condition,261.8869397,4681.873625
Condition,91.89497878,2897.960096
Condition,118.137338,3583.764946
Condition,383.5098696,6674.520342
Condition,100.3862837,3211.94864
Condition,65.32390173,2844.980452
Condition,503.902281,7548.444225
Condition,64.92328254,3347.302858
Condition,296.2910542,4153.679631
Condition,125.0622678,3359.897131
Condition,97.21400447,2746.272328
Condition,205.5725368,3703.420262
Condition,142.0925435,4308.56514
Condition,104.1288013,3534.01864
Condition,103.2824697,4298.747158
Condition,87.64888934,3007.529181
Condition,153.6956731,3814.551927
Control,452.6815617,6611.414538
Control,347.4929479,6717.731333
Control,507.2008174,7234.878869
Control,391.3583676,7601.559031
Control,390.0263536,6487.066558
Control,520.4074589,7574.852797
Control,571.8320304,6547.818528
Control,312.4632043,5657.569403
Control,233.3152005,6187.289482
Control,297.4655157,4919.95048
Control,450.1406099,5203.392758
Control,467.6530625,5689.084826
Control,236.7779006,4859.936657
Control,228.0092133,4538.843536
Control,246.9491519,5121.47926
Control,193.223871,4505.99578
Control,300.7748231,5272.695814
Control,271.7589991,5820.61092
Control,232.4652061,4704.7678
Control,522.2216565,5989.479994
Control,175.2416544,4681.873625
