Group,ANGPT1,ANGPT2,ANKRD22,BCL6,C1QC,CA4,CALCA,CCL5,CD177,CKAP4,CXCL10,FAS,FLT1,HK3,HP,ICAM1,IL18R1,LAG3,PADI4,PF4,PGLYRP1,S100A12,SLC2A3,TNFAIP6,TNFRSF1B,TREM1
Control,71.86043178,7.84178203,50.10897218,3665.163483,-0.018429543,280.1719754,-1.569876142,4505.99578,-2.305727614,1136.910431,104.5057514,31.70986629,-7.488024569,936.5586325,10.07150086,13.10474188,231.6181048,62.25648457,2445.782646,-4.547135431,148.0277225,3606.024953,6112.112275,760.260201,541.3181505,191.3623855
Control,91.41843208,-3.235443147,44.36876843,2627.113343,16.31571442,149.4694486,-5.059159695,7234.878869,-0.570666193,560.2036723,163.1882535,35.78629848,-4.872280711,632.5514624,1.749454112,10.22118355,292.8825149,108.2765687,810.0172501,-4.097653706,155.8955693,2152.657455,4517.272945,631.9589133,774.6794223,156.8734416
Control,100.3015467,1.571245685,46.75836487,3750.206169,-6.395330964,155.6684215,-4.870337766,4106.312903,4.022430761,888.2968521,149.9909472,53.08029949,-4.197981827,479.2407897,15.68814761,8.399425279,231.4022727,70.97999858,869.7113487,0.266728731,126.910473,1395.032302,3680.251664,844.6266004,494.3202734,108.0934584
Control,87.67267624,9.218301523,40.45169107,4268.643857,-5.407901827,284.6752564,-4.425801929,6876.261714,1.791281827,1126.813998,44.3194336,44.30765421,0.975601624,594.4905511,33.28239878,8.504289442,299.7493166,85.35590873,2253.59481,-4.177329391,191.8593556,3247.523043,6527.508437,521.0815734,668.2233655,178.1318909
Control,69.87235168,-3.291371472,78.42859411,4505.99578,-1.204625279,514.5159809,-4.376068325,6853.490175,5.030644061,1096.018733,53.74802152,46.00182274,1.845872081,461.9541023,22.95436091,5.559805685,406.7212771,62.33821929,1184.908106,-9.895711269,220.9030729,1595.00656,6094.517553,901.0186648,693.6318209,214.817264
Control,91.03792934,2.444017005,34.95788365,4268.643857,2.828386701,261.4823932,4.215371269,10593.9475,2.473369848,719.7541263,53.77625289,44.15891756,-1.743791574,383.9449906,25.48064335,23.1748865,412.2393248,196.7919389,1340.647803,-4.17057665,129.7948243,2010.943889,5414.570088,331.1330198,522.4492347,161.9297203
Control,94.52717492,-0.892214975,23.22619228,3165.209138,5.404534721,165.8539941,2.271311269,6403.909575,9.738037056,565.5797602,38.09925695,25.87782264,2.15238132,523.150729,8.54774203,15.4255401,355.4012121,123.7625236,909.9704764,-3.993443249,114.9541309,1324.534213,4451.836794,156.5183026,327.4637568,76.40141228
Control,72.14351025,-1.177936244,49.66748548,3711.302518,-0.479416447,84.9823399,-3.967058883,8482.759725,0.171560914,706.311274,57.77845178,28.24027188,-4.262081777,441.2905824,1.853769188,9.751726193,287.606954,115.0182796,1312.188408,-4.742911878,141.9683166,1994.205324,5705.598159,950.8729456,492.2723795,110.2445402
Control,66.6387734,-1.52764599,44.74346802,4980.74015,10.68048832,396.0968272,-5.913784162,8905.983038,4.674982234,637.1323155,90.91261523,40.72250365,-6.225710051,755.7284489,7.010413706,13.26389365,413.9859115,152.4608829,1579.06129,-7.54885665,279.1739927,2051.890757,6023.47592,536.5265314,580.9395897,171.890003
Control,82.06663574,2.980274213,35.95602426,3457.851365,2.329467919,245.6464259,-8.655638223,6226.380017,-2.934719797,732.9376174,41.38524061,33.05670386,2.872337665,556.1872331,6.837364975,15.32024437,239.2032481,145.0106377,1401.414516,-4.81992,203.1336382,883.9051262,4399.342827,204.0686621,492.8729318,152.6298192
Control,49.64200538,-1.845676751,31.13523391,4153.679631,4.124496853,221.5677935,-5.919634619,6946.047533,4.213978782,728.6483756,43.79155503,23.77537787,-0.396622437,519.4885774,7.384660711,15.06918731,307.3298188,94.28993635,1256.624561,-12.83633431,175.3909361,879.1460841,4144.253191,493.2794715,623.7238239,119.4377146
Control,96.78365827,0.226861624,20.5428869,3863.208011,2.218328325,209.5718522,-3.416572234,5626.118057,-9.762769848,729.4235205,27.14899269,36.52099411,-7.707932081,589.993596,7.850777157,9.132252081,483.0717879,97.97670467,1908.328403,-9.34647533,165.6192375,1914.935512,5244.488352,214.2300553,657.0190143,96.35524193
Control,42.13971898,6.432287005,65.4270064,6632.121448,11.24574081,347.6163713,-9.757399797,7062.81198,13.64193695,1162.272982,57.42042294,81.25507046,0.414533096,951.4538965,14.31390558,21.98034782,426.5587596,152.4608829,1038.203793,12.45573462,243.2117987,3135.710907,6969.138832,1934.647935,812.7459053,262.133692
Control,104.1907557,0.074236751,183.8650684,5610.13324,2.783180305,552.4299885,-6.446499898,6992.457489,5.311882538,1316.798429,382.5296777,57.38730731,1.48277066,810.4732321,38.00322893,9.488957868,561.4990886,79.83005736,2712.139573,-1.026998883,491.6406977,3613.589929,8385.044332,1610.843392,1052.777842,187.9337635
