Gene,logFC
RASSF6,-2.12633911
MIGA1,-2.33983636
PTGR2,-3.07880598
RHBDL2,-2.31309757
SLC35E1,-1.82650731
TMEM106A,-2.59272605
LOC100134868,-1.98590445
SLC4A5,-2.07632691
GDPD1,-2.1488816
PNPT1,-2.32299383
AOC4P,-1.85950135
CES2,-2.28114315
SSTR2,-2.29444068
MFSD11,-1.98014544
SMCR5,-2.28623718
TNFSF14,-1.64371252
SLC5A8,-2.36850538
BLOC1S6,-2.03438639
LEP,-2.46715765
NLRP8,-2.36577629
STRIP2,-2.43287472
MBD4,-2.08089765
GOLGA6L6,-1.93727548
HACD4,-2.8996583
DENR,-2.30398811
HAUS2,-2.13410998
NUBPL,-2.23097113
ZNF223,-2.19487409
C11orf63,-2.76864863
HNRNPU,-1.98075661
GNB4,-1.79981636
BMP8B,-1.92253138
IL17RD,-2.39042494
TMEM191A,-2.31102241
ZNF669,-2.26499248
MRPL57,-1.96195493
WDR74,-1.7312873
NDUFAF7,-1.92830433
SNX29P2,-1.93012279
EVI5,-1.5740519
GALNT3,-1.6233982
HYKK,-1.5999891
MYO3B,-1.62727872
PCDHB9,-2.73986097
ANKRD44,-1.96476912
SNAPC1,-2.15055758
SYAP1,-1.94081568
TBC1D32,-2.54886367
VPS41,-2.12225259
PLA2G2D,-2.28034013
XRCC2,-1.71576803
YRDC,-1.67833754
CCDC125,-2.15627823
USP49,-2.25269493
ZNF557,-2.44967483
ZNF860,-1.97430427
LMOD3,-1.56408731
SDHAP1,-1.75681195
RAD51,-1.9794125
ZNF486,-1.99366577
BLZF1,-1.85410347
TCAF2,-2.44157926
DCLRE1C,-1.8690362
DTWD2,-2.32938289
N4BP2,-1.94157584
PPP2R3A,-1.67619465
EIF2AK4,-2.17452359
GIMAP1,-1.99350401
ZNF483,-1.99781037
BIRC3,-1.69267479
CSF2RA,-2.06214104
POLR2J4,-1.54166883
BCYRN1,-1.75924223
AHR,-1.66654885
HSCB,-1.94106382
LINC00202-2,-1.86447362
SPTLC1,-1.88409448
IL10,-1.96956541
FAM213A,-1.56241116
PCYOX1,-1.89893801
ZNF14,-1.84501666
ZNF786,-1.64917133
TMEM267,-1.6171072
ALPP,-1.70947943
SYNJ2BP,-2.18902412
RAX2,-1.65038163
PIGX,-1.87841243
FAM175A,-1.73906296
GSTTP2,-1.73724295
PPA2,-1.66234905
SLC25A51,-1.64425481
ZNF682,-1.65676032
PAXIP1-AS1,-1.7524227000000001
PHAX,-1.56153639
TDP2,-1.66172679
GPR1,-1.96441337
PIK3R1,-1.54816256
CCBE1,-1.50302718
ZNF652,-1.56029513
RNF213,-1.6538817
ACTG1P4,-1.62648347
BTNL10,-1.55169489
FKBP14,-1.83888131
C2orf69,-1.63706918
GIMAP7,-2.90814375
STOM,2.13190414
GYPE,3.18087591
RPL23AP87,-2.1679972
PLIN5,-1.50878947
ITM2A,-1.97245339
FCGR3A,-2.61895203
SEPT7,-1.73505375
ARG1,2.4123953
RPLP1,-3.13878588
HK1,1.79183539
EVI2B,-1.69590572
RPL23AP64,-2.79864366
HIST1H1C,2.32695047
GYPB,3.09150063
H3F3AP4,-2.96421383
PTMA,-2.77601062
RPL13P5,-1.87804093
SRSF11,-1.93513333
FYB,-1.50130395
RPL14,-1.71419287
WNK1,2.11873729
ZAK,1.54266383
ADI1,-1.50159903
HMGB1,-1.51400638
GABARAPL2,2.01896212
CA2,2.72732509
CEACAM6,1.79914489
RNU6-1,2.198913
FCGR3B,-2.16286949
G3BP1,-1.64896195
"NACAP1",-1.63403201
FAM83A,2.41330994
C6orf62,-1.87739874
TANK,-1.50191656
GIMAP2,-1.6772551
TPM1,1.79953927
CAPZA1,-2.44320069
ATP6V1D,1.89497467
AMY1A,-2.5500754899999998
RPL23AP32,-1.508684
DEFA1,3.07878849
C1QB,2.1408329
ANXA2P1,-1.51549871
SLC2A1,2.45657591
OAT,1.66789445
SPTA1,2.08473949
CREG1,2.1042936
TERF2IP,2.15806356
TRIM58,1.98284129
DEFA1B,3.21506394
RAP1GAP,3.13498951
REXO2,1.86377815
TFRC,2.04263217
DEFA3,3.26201673
TLR1,-1.60575283
FAM46C,1.68535223
CTSL,1.93789796
"NARF",1.50637775
HSP90AA1,1.5695049
PSME4,1.72186066
ANKRD9,2.55093514
TMCC2,2.86625357
SUMO2,-1.58758723
RIOK3,2.05460038
ARL4A,2.49093997
OSBP2,2.33022811
SLC7A5,2.27411427
ATG9A,1.56614384
ELANE,2.36477385
DEFA4,2.52963033
CTSG,1.96742125
LCN2,2.12403231
YOD1,2.39232459
XK,2.06121039
RFESD,1.6572014
TRAK2,2.08010703
BNIP3L,2.07927763
CA1,2.97260729
IFI27,3.18630739
XPO7,1.97495061
MPP1,1.7087109
IFIT1B,2.85802938
RHCE,1.93921162
FOXO3,1.67489902
UQCRH,-1.74613823
RHAG,1.95640673
BPGM,2.5586487
MMP9,2.52237441
ST13,1.60342473
MCEMP1,1.89684356
PNP,1.9125754
GABARAPL1,1.51934847
CENPV,-1.69804575
VNN1,1.67004194
FHDC1,1.77214034
CISD2,1.95573473
HBD,2.43300821
ATG14,1.56513664
S100P,1.74886872
ANK1,1.89311927
LILRA3,1.99839153
SLC4A1,1.71237078
TNS1,1.59486075
GYPA,1.77221685
HMBS,1.77133321
WDR26,1.50016584
CD163,1.57133055
LGALS3,-1.90671588
LPIN2,1.5077143
RETN,1.6253032
YPEL4,1.52214622
