"","Gene","GSE1124.CM","GSE117613.CM","adj.P.Val","logFC"
"1","ACAA1",NA,NA,8.67e-05,0.8347372
"2","ACER3",NA,NA,0.516,0.135287
"3","ACOD1",NA,NA,0.158,0.285084
"4","ACSL1",NA,NA,0.799,0.1616257
"5","ACSL4",NA,NA,0.312,-0.0984394
"6","ADCY3",NA,NA,0.0937,0.7832549
"7","ADGRE1",NA,NA,0.0284,1.2395329
"8","ADGRG3",NA,NA,0.00283,0.9743719
"9","ADM",NA,NA,0.05,1.0972141
"10","AGAP6",NA,NA,0.0215,-0.8358773
"11","AGTRAP",NA,NA,0.00958,0.9278856
"12","ALCAM",NA,NA,0.0503,0.3847525
"13","ALOX5AP",NA,NA,0.000932,1.5592569
"14","ALPK1",NA,NA,0.0631,0.7841617
"15","ALPL",NA,NA,0.0288,1.5463906
"16","ANKRD22",2.37851384,1.7581114,0.045,1.5264048
"17","ANKS1A",NA,NA,0.00109,0.5671239
"18","ANPEP",NA,NA,0.0185,0.9471474
"19","ANXA2",NA,NA,0.156,-0.201226
"20","ANXA3",NA,NA,0.202,0.7637923
"21","APMAP",NA,NA,0.000481,1.0605164
"22","AQP9",NA,NA,0.0349,1.1999632
"23","ARHGDIB",NA,NA,0.055,0.5254802
"24","ARPC5",NA,NA,0.25,0.2709081
"25","ATF6",NA,NA,0.0572,0.3436673
"26","ATG7",NA,NA,0.0235,0.4806968
"27","ATOX1",NA,NA,0.0127,0.8355621
"28","ATP6AP1",NA,NA,0.173,0.4419487
"29","ATP6V1C1",NA,NA,0.0559,-0.3416441
"30","B4GALT5",NA,NA,0.00891,1.3578378
"31","BASP1",NA,NA,0.00157,1.7255514
"32","BATF",NA,NA,0.00799,0.7018184
"33","BATF2",NA,NA,0.737,0.1097758
"34","BAZ1A",NA,NA,0.0405,0.7153823
"35","BCAT1",NA,NA,0.521,0.2487876
"36","BCL3",NA,NA,0.0197,1.107705
"37","BCL6",1.52721574,1.8317914,0.000426,1.8317914
"38","BEST1",NA,NA,0.0923,0.4962696
"39","BID",NA,NA,0.929,0.0343855
"40","BMX",NA,NA,0.0584,0.4595006
"41","BRI3",NA,NA,0.0037,0.9729406
"42","BRSK1",NA,NA,0.00037,1.195761
"43","BST1",NA,NA,0.262,0.3414321
"44","C10orf54",NA,NA,0.679,0.1968932
"45","C1QA",NA,NA,0.0182,1.0070172
"46","C1QB",NA,NA,0.00608,2.9702184
"47","C1QC",4.54621054,2.0698583,0.00655,2.0698583
"48","C1RL",NA,NA,0.16,0.4132189
"49","C20orf24",NA,NA,0.0167,0.7162866
"50","C3AR1",NA,NA,0.0397,0.8893907
"51","C4orf32",NA,NA,4.2e-05,-0.4723611
"52","C5AR1",NA,NA,0.00842,1.1539141
"53","CA4",3.377527,1.6343807,0.00269,1.6343807
"54","CAMLG",NA,NA,0.171,-0.2549664
"55","CAMP",1.534533,1.6701021,NA,NA
"56","CAP1",NA,NA,5.58e-05,0.9907718
"57","CASP4",NA,NA,0.704,-0.0856454
"58","CASP5",NA,NA,0.623,0.1438857
"59","CAT",-3.020792,-2.0629904,NA,NA
"60","CCL3",NA,NA,0.182,0.8167909
"61","CCL3L1",NA,NA,0.321,0.5174427
"62","CCL3L3",NA,NA,0.0313,1.5011914
"63","CCND3",NA,NA,0.0699,0.5632823
"64","CCR1",NA,NA,0.799,0.0933909
"65","CD14",NA,NA,0.0229,1.088558
"66","CD163",NA,NA,0.0304,1.0783994
"67","CD177",4.45578,1.6999112,0.0184,1.0149833
"68","CD55",NA,NA,0.8,-0.1143577
"69","CD68",NA,NA,0.276,0.4146076
"70","CDA",NA,NA,0.00285,1.2335996
"71","CDC16",NA,NA,0.042,-0.3881823
"72","CEACAM1",NA,NA,0.0657,1.3159464
"73","CEACAM3",NA,NA,0.114,0.758095
"74","CEACAM8",3.96633,1.7297943,NA,NA
"75","CEBPB",NA,NA,0.0415,1.0977412
"76","CEBPD",NA,NA,0.00219,1.4795722
"77","CFP",NA,NA,0.131,0.4398734
"78","CHSY1",NA,NA,0.564,0.1447752
"79","CKAP4",2.115227,1.8729057,0.000881,1.8729057
"80","CLEC4D",NA,NA,0.176,0.6739205
"81","CLEC4E",NA,NA,0.0225,0.5726545
"82","CMTM6",NA,NA,0.0122,0.5981335
"83","CPD",NA,NA,0.134,0.4680761
"84","CRISPLD2",NA,NA,0.00265,1.159188
"85","CSF2RA",NA,NA,0.00716,0.802873
"86","CSRNP1",NA,NA,0.132,0.5323935
"87","CTSD",NA,NA,0.0221,0.9334355
"88","CTSH",NA,NA,0.00131,1.0400786
"89","CYB5R4",NA,NA,0.292,0.1955757
"90","CYBA",NA,NA,0.0221,0.6316929
"91","CYBB",NA,NA,0.037,0.574434
"92","CYP1B1",NA,NA,0.0288,0.9642394
"93","CYP4F3",NA,NA,0.208,0.6771934
"94","DCUN1D3",NA,NA,0.0326,0.3518434
"95","DEGS1",NA,NA,0.771,0.0435884
"96","DENND3",NA,NA,0.0878,0.5692273
"97","DENND5A",NA,NA,0.0907,0.5872621
"98","DNTTIP1",NA,NA,0.0483,0.4340085
"99","DRAM1",NA,NA,0.0368,0.6514283
"100","DSE",NA,NA,0.0519,0.5213585
"101","DUSP3",NA,NA,0.0126,0.896413
"102","DYSF",NA,NA,0.00372,1.7221576
"103","EBI3",NA,NA,0.238,0.4780223
"104","EBLN2",NA,NA,0.0984,0.5049778
"105","EIF3H",NA,NA,0.778,-0.0619595
"106","EIF4E3",NA,NA,0.572,0.156205
"107","EIF4G3",NA,NA,0.0151,0.5044256
"108","EMILIN2",NA,NA,0.592,0.2272338
"109","EMP1",NA,NA,0.105,0.5546368
"110","ENTPD1",NA,NA,0.0159,0.6237452
"111","ERLIN1",NA,NA,0.857,-0.0355363
"112","ERO1A",NA,NA,0.00825,0.7770204
"113","ETS2",NA,NA,0.00316,1.363004
"114","EXOSC4",NA,NA,0.00163,0.6221485
"115","F5",NA,NA,0.00338,0.7484861
"116","FAM126B",NA,NA,7.34e-05,-0.8036075
"117","FAM129B",NA,NA,0.0322,0.2986267
"118","FAM160A2",NA,NA,0.00967,0.3750021
"119","FAM20A",NA,NA,0.0234,0.4712374
"120","FAM65B",NA,NA,0.122,0.5165721
"121","FBN2",NA,NA,0.00174,0.8222088
"122","FBXO6",NA,NA,0.795,-0.0667779
"123","FCAR",NA,NA,0.16,0.380896
"124","FCER1G",NA,NA,0.00211,1.7623413
"125","FCGR1A",NA,NA,0.223,0.7283426
"126","FCGR1B",NA,NA,0.259,0.7703205
"127","FES",NA,NA,0.00132,1.2944248
"128","FFAR2",NA,NA,0.313,0.7939834
"129","FGR",NA,NA,9.7e-05,1.3029577
"130","FKBP5",NA,NA,0.00491,1.4206969
"131","FLOT1",NA,NA,0.00923,1.1465871
"132","FLOT2",NA,NA,0.0922,0.5077612
"133","FNDC3B",NA,NA,0.0112,0.5218611
"134","FPR1",NA,NA,0.0153,1.6002082
"135","FPR2",NA,NA,0.138,0.7601356
"136","G0S2",NA,NA,0.184,0.7219753
"137","GADD45B",NA,NA,0.0198,0.6381606
"138","GBE1",NA,NA,0.107,0.2804069
"139","GBP1",NA,NA,0.384,0.5052787
"140","GBP2",NA,NA,0.0324,0.9199693
"141","GBP4",NA,NA,0.257,0.3652422
"142","GBP5",NA,NA,0.147,0.6511036
"143","GCA",NA,NA,0.0217,0.9842137
"144","GK",NA,NA,0.164,0.5733141
"145","GM2A",NA,NA,0.00423,0.8130811
"146","GNA15",NA,NA,0.0259,0.8349181
"147","GNS",NA,NA,0.052,0.828109
"148","GPAT3",NA,NA,0.00499,1.2035393
"149","GPR84",NA,NA,0.0265,1.4753119
"150","GRAMD1A",NA,NA,0.542,0.2331351
"151","GRN",NA,NA,0.0117,1.0957727
"152","GYG1",NA,NA,0.00284,1.5810516
"153","H3F3C",NA,NA,0.00271,-0.4698917
"154","HBZ",-3.44284,-1.6511685,NA,NA
"155","HCAR2",NA,NA,0.376,0.178362
"156","HCAR3",NA,NA,0.464,0.2069215
"157","HCK",NA,NA,0.141,0.6233494
"158","HEBP2",NA,NA,0.215,0.3624087
"159","HIP1",NA,NA,0.00878,0.6388132
"160","HK2",NA,NA,0.0763,0.3567705
"161","HK3",1.75518,2.1749752,3.09e-05,2.1749752
"162","HLX",NA,NA,0.0247,0.5195449
"163","HNRNPA3P1",NA,NA,0.0385,0.741306
"164","HNRNPH1",-1.917892,-1.5867937,NA,NA
"165","HP",2.947072,1.6196761,0.0102,1.6196761
"166","HPSE",NA,NA,0.00306,0.7788286
"167","HTATIP2",NA,NA,0.376,0.2193413
"168","IER3",NA,NA,0.0148,1.2419588
"169","IFI30",NA,NA,0.0287,0.9810005
"170","IFITM1",NA,NA,0.000611,1.2058437
"171","IFITM2",NA,NA,0.00143,1.4546695
"172","IFITM3",NA,NA,0.000857,1.6974228
"173","IFNAR1",NA,NA,0.019,0.649014
"174","IFNGR2",NA,NA,0.0101,0.8640868
"175","IGSF6",NA,NA,0.27,0.6293344
"176","IL10RB",NA,NA,0.000538,0.8446655
"177","IL18R1",2.500785,1.7308062,0.0227,1.7308062
"178","IL18RAP",NA,NA,0.0121,1.7930632
"179","IL1B",NA,NA,0.259,0.8337344
"180","IL1R1",NA,NA,0.54,-0.1257832
"181","IL1R2",NA,NA,0.623,0.1167681
"182","IL1RN",NA,NA,0.181,0.9391046
"183","IL27",NA,NA,0.0474,0.199122
"184","IL4R",NA,NA,0.0496,0.5876142
"185","INTS6",NA,NA,0.491,0.0803172
"186","IQSEC1",NA,NA,0.174,0.299051
"187","IRAK2",NA,NA,0.0607,0.5210744
"188","IRAK3",NA,NA,0.012,1.7295749
"189","IRF1",NA,NA,0.353,0.3583826
"190","ITGAM",NA,NA,0.00372,1.3140959
"191","JUNB",NA,NA,0.378,0.346529
"192","KCNJ2",NA,NA,0.0423,0.9444326
"193","KCTD12",NA,NA,0.0148,0.8092649
"194","KIF1B",NA,NA,0.0903,0.4017729
"195","KLF5",NA,NA,0.629,0.0686547
"196","KLHL2",NA,NA,0.326,-0.2395699
"197","KREMEN1",NA,NA,0.791,-0.0470045
"198","KRTAP19-6",NA,NA,0.0511,0.7195397
"199","KYNU",NA,NA,0.239,0.4956245
"200","LACTB",NA,NA,0.0279,0.421498
"201","LAG3",1.982829,1.8762896,0.0147,1.8762896
"202","LAMP2",NA,NA,0.0354,0.5047007
"203","LAP3",NA,NA,0.404,0.3529093
"204","LCP1",NA,NA,0.000343,1.0808072
"205","LCP2",NA,NA,0.23,0.1995306
"206","LDHA",NA,NA,0.000613,1.6458473
"207","LDLR",NA,NA,0.0324,0.6995561
"208","LGALS1",NA,NA,0.00189,1.4376145
"209","LILRA3",NA,NA,0.0268,2.0161445
"210","LILRA5",NA,NA,0.108,0.7254327
"211","LILRB2",NA,NA,0.144,0.2314966
"212","LILRB3",NA,NA,0.0565,1.2847386
"213","LIMK2",NA,NA,0.358,0.1046118
"214","LIMS1",NA,NA,1.48e-05,-0.6799692
"215","LIN7A",NA,NA,0.759,0.0620227
"216","LITAF",NA,NA,0.0143,1.0698063
"217","LMNB1",NA,NA,0.0644,0.4166009
"218","LRG1",NA,NA,0.268,0.5375504
"219","LRRK2",NA,NA,0.442,0.1494747
"220","LTB4R",NA,NA,0.00363,0.8738614
"221","LYRM1",NA,NA,0.0518,0.4691853
"222","MAFB",NA,NA,0.541,0.2340718
"223","MARCKS",NA,NA,0.291,0.5681444
"224","MARCO",NA,NA,0.0414,0.933145
"225","MBOAT1",NA,NA,0.00152,0.4263551
"226","MCEMP1",NA,NA,0.00827,2.6767703
"227","MCL1",NA,NA,0.368,0.2897645
"228","MCTP1",NA,NA,0.0358,0.263513
"229","MEFV",NA,NA,0.00622,-0.688475
"230","METTL7B",NA,NA,0.0156,1.0492131
"231","MGAM",NA,NA,0.113,-0.2049959
"232","MILR1",NA,NA,0.0881,0.3953327
"233","MIR223",NA,NA,0.0241,0.8809963
"234","MLKL",NA,NA,0.0254,0.6440134
"235","MMP8",NA,NA,0.141,0.2226989
"236","MMP9",NA,NA,0.000425,3.6455735
"237","MOB1A",NA,NA,0.987,0.0041819
"238","MPO",3.705889,1.9722213,NA,NA
"239","MSRB1",NA,NA,0.00115,1.4456175
"240","MSRB2",NA,NA,0.0724,0.6899838
"241","MTF1",NA,NA,0.0196,1.0429997
"242","MTHFS",NA,NA,0.00752,0.5672206
"243","MTX1",NA,NA,0.00446,0.872386
"244","MXD1",NA,NA,0.0393,0.9965505
"245","MXD4",NA,NA,0.122,-0.54697
"246","MYBPC3",NA,NA,0.00412,0.8913312
"247","MYD88",NA,NA,0.00656,0.7444126
"248","MYOF",NA,NA,0.377,0.3230983
"249","NACA",NA,NA,0.00924,0.4867222
"250","NADK",NA,NA,0.0906,0.5213192
"251","NAMPT",NA,NA,0.249,0.7038215
"252","NBEAL2",NA,NA,0.946,0.025497
"253","NCF2",NA,NA,0.0898,0.6061695
"254","NCSTN",NA,NA,0.0312,0.6344194
"255","NDST1",NA,NA,0.0288,0.3496049
"256","NDST2",NA,NA,0.984,-0.0041081
"257","NFIL3",NA,NA,0.967,0.0138494
"258","NFKBIA",NA,NA,0.00308,1.7517699
"259","NFKBIZ",NA,NA,0.0278,-0.2366852
"260","NLRC4",NA,NA,0.0786,0.4539005
"261","NOP10",NA,NA,0.000174,0.9139083
"262","NQO2",NA,NA,0.00802,1.1113243
"263","NSUN7",NA,NA,0.134,0.2651889
"264","NT5C2",NA,NA,0.941,-0.0182835
"265","NUMB",NA,NA,0.0438,0.4679655
"266","OLAH",NA,NA,0.146,0.565413
"267","OPLAH",NA,NA,0.0967,0.6190879
"268","ORM1",NA,NA,0.0126,1.4974564
"269","ORM2",NA,NA,0.178,0.3457289
"270","OSCAR",NA,NA,0.00201,1.2658903
"271","OSM",NA,NA,0.0932,0.4379468
"272","P2RY13",NA,NA,0.62,0.1923108
"273","PACSIN2",NA,NA,0.633,0.1965487
"274","PADI4",1.567912,1.9000887,0.000791,1.9000887
"275","PATL1",NA,NA,0.312,0.1496145
"276","PCNX1",NA,NA,5.41e-05,1.2023335
"277","PDK3",NA,NA,0.0214,0.4325791
"278","PELI1",NA,NA,0.814,0.0816437
"279","PFKFB2",NA,NA,0.0503,0.3848009
"280","PFKFB3",NA,NA,0.0259,0.5240922
"281","PFKFB4",NA,NA,0.262,0.4992634
"282","PGAM1",NA,NA,0.0687,0.3983155
"283","PGD",NA,NA,0.000192,1.9424836
"284","PGLYRP1",4.088031,2.8309077,6.85e-05,2.8309077
"285","PGS1",NA,NA,0.00336,1.2122645
"286","PHF21A",NA,NA,0.209,0.2959199
"287","PHTF1",NA,NA,0.00296,0.643153
"288","PILRA",NA,NA,0.207,0.5063846
"289","PLAGL2",NA,NA,0.0253,0.5669441
"290","PLBD1",1.642296,2.273022,0.000432,2.273022
"291","PLEK",NA,NA,0.333,0.2684215
"292","PLIN3",NA,NA,0.0229,0.6701529
"293","PLP2",NA,NA,0.0914,0.4160326
"294","PLSCR1",NA,NA,0.163,0.4747601
"295","PLXDC2",NA,NA,0.134,0.5102623
"296","PLXNC1",NA,NA,0.119,0.5427305
"297","POR",NA,NA,0.00722,0.7503642
"298","PPM1N",NA,NA,0.109,0.3658385
"299","PPP1R14B",NA,NA,0.00285,0.7027046
"300","PPP4R1",NA,NA,0.287,-0.1389262
"301","PRCP",NA,NA,0.108,0.4133835
"302","PRELID1",NA,NA,6e-04,0.8163882
"303","PROK2",NA,NA,0.96,0.0322575
"304","PSG3",NA,NA,0.409,0.2770146
"305","PSTPIP2",NA,NA,0.212,0.5356052
"306","PTPN1",NA,NA,0.0805,0.5624325
"307","PTPN12",NA,NA,0.366,-0.1847225
"308","PTPRC",NA,NA,0.579,0.2350626
"309","PYGL",NA,NA,0.0126,0.9196078
"310","QPCT",NA,NA,0.0552,0.2096129
"311","QRICH1",NA,NA,0.586,-0.0611079
"312","RAB10",NA,NA,0.18,0.3391479
"313","RAB24",NA,NA,8.2e-05,1.2849446
"314","RAB27A",NA,NA,8.99e-05,1.1417499
"315","RAB31",NA,NA,0.00101,0.9899921
"316","RAB32",NA,NA,0.0227,0.7871222
"317","RALB",NA,NA,0.0535,0.8906153
"318","RBBP4",-1.58049289,-1.589866,NA,NA
"319","RBMS1",NA,NA,1.37e-05,-1.1640104
"320","RBPJ",NA,NA,0.759,0.0808408
"321","RETN",NA,NA,0.0104,2.1594361
"322","RGL1",NA,NA,0.0275,0.9294095
"323","RGL4",1.96793563,1.8170348,0.000447,1.8170348
"324","RHBDF2",NA,NA,0.84,0.0692232
"325","RILPL2",NA,NA,0.00503,0.7684209
"326","RNASEL",NA,NA,0.0672,0.2930192
"327","RNF144A",NA,NA,0.0733,-0.4877406
"328","RNF144B",NA,NA,0.119,0.6159862
"329","RNF145",NA,NA,0.853,-0.0454044
"330","RNF149",NA,NA,0.0439,0.7498944
"331","ROPN1L",NA,NA,0.0388,0.6758823
"332","RPS12",NA,NA,0.116,-0.3804212
"333","RRAGD",NA,NA,0.00488,1.0466647
"334","S100A11",NA,NA,0.953,-0.0379419
"335","S100A12",3.07299,2.0844887,0.0345,2.0844887
"336","S100A4",NA,NA,9.83e-05,1.1054834
"337","S100A9",NA,NA,0.00126,1.2301002
"338","S100P",NA,NA,0.033,2.2549999
"339","SAMSN1",NA,NA,0.00205,-0.9180775
"340","SBNO2",NA,NA,0.000787,1.0723721
"341","SEPHS2",NA,NA,0.232,0.1915006
"342","SERPINB1",NA,NA,0.00182,1.477929
"343","SERPING1",NA,NA,0.398,0.4214128
"344","SH3GLB1",NA,NA,0.0166,0.7133802
"345","SIGLEC10",NA,NA,0.334,0.5699368
"346","SIGLEC9",NA,NA,0.000537,0.6335271
"347","SIPA1L2",NA,NA,0.164,0.4904262
"348","SIRPA",NA,NA,0.147,0.4023322
"349","SKAP2",NA,NA,0.00355,0.6657693
"350","SLA",NA,NA,0.324,0.2000591
"351","SLC16A3",NA,NA,0.0253,1.082004
"352","SLC1A3",NA,NA,0.234,0.2396979
"353","SLC2A11",NA,NA,0.208,0.7994268
"354","SLC2A14",NA,NA,0.696,-0.1050098
"355","SLC2A3",1.710653,1.7133778,0.00302,1.7133778
"356","SLC2A6",NA,NA,0.927,-0.0392135
"357","SLC31A2",NA,NA,0.242,0.4937378
"358","SLC39A8",NA,NA,0.967,-0.027556
"359","SLC51A",NA,NA,0.0885,0.245601
"360","SLC9A8",NA,NA,0.0645,0.5391593
"361","SLCO4A1",NA,NA,0.0968,0.4751655
"362","SMA4",NA,NA,0.0628,0.6673701
"363","SMAP2",NA,NA,0.211,0.441287
"364","SMPDL3A",NA,NA,0.0639,-0.2991945
"365","SNX11",NA,NA,0.502,0.140479
"366","SOCS3",NA,NA,0.0652,0.7628688
"367","SORT1",NA,NA,0.00872,0.757386
"368","SPI1",NA,NA,0.259,0.5754701
"369","SQRDL",NA,NA,0.963,-0.0140111
"370","SRA1",NA,NA,0.145,0.2664785
"371","SRGN",NA,NA,0.00077,1.3706023
