Gene,adj.P.Val,logFC
ACAA1,8.6700000000000007e-05,0.8347372
ACER3,0.516,0.135287
ACOD1,0.158,0.285084
ACSL1,0.799,0.1616257
ACSL4,0.312,-0.0984394
ADCY3,0.0937,0.7832549
ADGRE1,0.0284,1.2395329
ADGRG3,0.00283,0.9743719
ADM,0.05,1.0972141
AGAP6,0.0215,-0.8358773
AGTRAP,0.00958,0.9278856
ALCAM,0.0503,0.3847525
ALOX5AP,9.32e-4,1.5592569
ALPK1,0.0631,0.7841617
ALPL,0.0288,1.5463906
ANKRD22,0.045,1.5264048
ANKS1A,0.00109,0.5671239
ANPEP,0.0185,0.9471474
ANXA2,0.156,-0.201226
ANXA3,0.202,0.7637923
APMAP,4.81e-4,1.0605164
AQP9,0.0349,1.1999632
ARHGDIB,0.055,0.5254802
ARPC5,0.25,0.2709081
ATF6,0.0572,0.3436673
ATG7,0.0235,0.4806968
ATOX1,0.0127,0.8355621
ATP6AP1,0.173,0.44194870000000003
ATP6V1C1,0.0559,-0.3416441
B4GALT5,0.00891,1.3578378
BASP1,0.00157,1.7255514
BATF,0.00799,0.7018184
BATF2,0.737,0.1097758
BAZ1A,0.0405,0.7153823
BCAT1,0.521,0.2487876
BCL3,0.0197,1.107705
BCL6,4.26e-4,1.8317914
BEST1,0.0923,0.4962696
BID,0.929,0.0343855
BMX,0.0584,0.4595006
BRI3,0.0037,0.9729406
BRSK1,3.7e-4,1.195761
BST1,0.262,0.3414321
C10orf54,0.679,0.1968932
C1QA,0.0182,1.0070172
C1QB,0.00608,2.9702184
C1QC,0.00655,2.0698583
C1RL,0.16,0.4132189
C20orf24,0.0167,0.7162866
C3AR1,0.0397,0.8893907
C4orf32,4.2e-5,-0.4723611
C5AR1,0.00842,1.1539141
CA4,0.00269,1.6343807
CAMLG,0.171,-0.2549664
CAP1,5.58e-5,0.9907718
CASP4,0.704,-0.0856454
CASP5,0.623,0.1438857
CCL3,0.182,0.8167909
CCL3L1,0.321,0.5174427
CCL3L3,0.0313,1.5011914
CCND3,0.0699,0.5632823
CCR1,0.799,0.0933909
CD14,0.0229,1.088558
CD163,0.0304,1.0783994
CD177,0.0184,1.0149833
CD55,0.8,-0.1143577
CD68,0.276,0.4146076
CDA,0.00285,1.2335996
CDC16,0.042,-0.3881823
CEACAM1,0.0657,1.3159464
CEACAM3,0.114,0.758095
CEBPB,0.0415,1.0977412
CEBPD,0.00219,1.4795722
CFP,0.131,0.4398734
CHSY1,0.564,0.1447752
CKAP4,8.81e-4,1.8729057
CLEC4D,0.176,0.6739205
